Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	972011.0	226 Mbp	0.0	35-301	41.0	67.66825804939674	232.53411689785403	274	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	972011.0	227.8 Mbp	0.0	35-301	41.0	71.96311532831231	234.5145636211936	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1053177.0	243.6 Mbp	0.0	35-301	41.0	66.06197812731008	231.2766894833442	264	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1053177.0	244.6 Mbp	0.0	35-301	41.0	68.55724861376103	232.40824476797349	274	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	716671.0	174.2 Mbp	0.0	35-301	41.0	71.59065457437865	243.03010237612517	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	716671.0	174.8 Mbp	0.0	35-301	41.0	74.68963350019119	244.0897524805664	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	502333.0	139.8 Mbp	0.0	35-301	40.0	77.0739699122937	278.3650297710881	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	502333.0	140.2 Mbp	0.0	35-301	40.0	81.1607359460307	279.26372545701753	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	663110.0	174.2 Mbp	0.0	35-301	41.0	71.90408841862256	262.673220883413	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	663110.0	174.9 Mbp	0.0	35-301	41.0	76.4184597990058	263.98617725565896	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	569609.0	157.8 Mbp	0.0	35-301	41.0	73.57524395844557	277.01223119718964	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	569609.0	158.3 Mbp	0.0	35-301	41.0	79.1130237916546	278.12062748306295	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	711717.0	188.7 Mbp	0.0	35-301	41.0	69.72467093858879	265.1161725798316	301	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	711717.0	189.3 Mbp	0.0	35-301	41.0	74.11937516724498	266.1660133170909	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	447502.0	126.8 Mbp	0.0	35-301	40.0	80.14068373256666	283.35450456087347	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	447502.0	127.4 Mbp	0.0	35-301	40.0	82.91520731964472	284.97226939767864	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013282_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013282_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	674189.0	178.5 Mbp	0.0	35-301	41.0	71.69344860178805	264.76007098899566	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
