Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 516995.0)																																			
SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 509935.0)																																			
SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 509935.0)																																			
SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 623726.0)																																			
SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 623726.0)																																			
SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 637414.0)																																			
SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 637414.0)																																			
SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 644296.0)																																			
SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 644296.0)																																			
SRR27013263_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 676353.0)																																			
SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 716150.0)																																			
SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 716150.0)																																			
SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 1103315.0)																																			
SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 1103315.0)																																			
SRR27013266_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 914081.0)																																			
SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 833050.0)																																			
SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 833050.0)																																			
SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(2.0, 3205.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 5.0)	(16.0, 8.0)	(17.0, 40.0)	(18.0, 111.0)	(19.0, 329.0)	(20.0, 540.0)	(21.0, 818.0)	(22.0, 1242.0)	(23.0, 1697.0)	(24.0, 2567.0)	(25.0, 3651.0)	(26.0, 5397.0)	(27.0, 7943.0)	(28.0, 11720.0)	(29.0, 16730.0)	(30.0, 23170.0)	(31.0, 32246.0)	(32.0, 43582.0)	(33.0, 58675.0)	(34.0, 81211.0)	(35.0, 120463.0)	(36.0, 217387.0)	(37.0, 716189.0)
SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(2.0, 3199.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 2.0)	(11.0, 5.0)	(12.0, 12.0)	(13.0, 174.0)	(14.0, 667.0)	(15.0, 1197.0)	(16.0, 1578.0)	(17.0, 2431.0)	(18.0, 3663.0)	(19.0, 4941.0)	(20.0, 6446.0)	(21.0, 8052.0)	(22.0, 10146.0)	(23.0, 12207.0)	(24.0, 14934.0)	(25.0, 17483.0)	(26.0, 21348.0)	(27.0, 25723.0)	(28.0, 30920.0)	(29.0, 37395.0)	(30.0, 46448.0)	(31.0, 57421.0)	(32.0, 71957.0)	(33.0, 93689.0)	(34.0, 122297.0)	(35.0, 162799.0)	(36.0, 224853.0)	(37.0, 366941.0)
SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(2.0, 967.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 11.0)	(17.0, 35.0)	(18.0, 67.0)	(19.0, 152.0)	(20.0, 300.0)	(21.0, 543.0)	(22.0, 821.0)	(23.0, 1246.0)	(24.0, 2012.0)	(25.0, 2992.0)	(26.0, 4541.0)	(27.0, 6625.0)	(28.0, 9358.0)	(29.0, 13116.0)	(30.0, 17538.0)	(31.0, 23579.0)	(32.0, 30962.0)	(33.0, 41287.0)	(34.0, 56656.0)	(35.0, 83068.0)	(36.0, 144964.0)	(37.0, 340569.0)
SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(2.0, 962.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 0.0)	(12.0, 16.0)	(13.0, 111.0)	(14.0, 435.0)	(15.0, 776.0)	(16.0, 1167.0)	(17.0, 1926.0)	(18.0, 2999.0)	(19.0, 4026.0)	(20.0, 5209.0)	(21.0, 6586.0)	(22.0, 8124.0)	(23.0, 9893.0)	(24.0, 11911.0)	(25.0, 14052.0)	(26.0, 16778.0)	(27.0, 19797.0)	(28.0, 23757.0)	(29.0, 28638.0)	(30.0, 34625.0)	(31.0, 41489.0)	(32.0, 50823.0)	(33.0, 64379.0)	(34.0, 79669.0)	(35.0, 98465.0)	(36.0, 116508.0)	(37.0, 138293.0)
SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 415226.0)																																			
SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 415226.0)																																			
SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 784854.0)																																			
SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 784854.0)																																			
SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 665416.0)																																			
SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 665416.0)																																			
SRR27013273_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 940569.0)																																			
SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 972011.0)																																			
SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 972011.0)																																			
SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 1053177.0)																																			
SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 1053177.0)																																			
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 716671.0)																																			
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 716671.0)																																			
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 502333.0)																																			
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 502333.0)																																			
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 663110.0)																																			
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 663110.0)																																			
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 569609.0)																																			
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 569609.0)																																			
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 711717.0)																																			
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 711717.0)																																			
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 447502.0)																																			
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 447502.0)																																			
SRR27013282_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 674189.0)																																			
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 1023134.0)																																			
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 1023134.0)																																			
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 1038465.0)																																			
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 1038465.0)																																			
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 935932.0)																																			
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 935932.0)																																			
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 871845.0)																																			
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 871845.0)																																			
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 585771.0)																																			
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 585771.0)																																			
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 519027.0)																																			
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 519027.0)																																			
SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 680611.0)																																			
SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 680611.0)																																			
SRR27013290_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 813451.0)																																			
SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 1007771.0)																																			
SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 1007771.0)																																			
SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 439291.0)																																			
SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 439291.0)																																			
SRR27013293_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 996890.0)																																			
SRR27013294_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 987342.0)																																			
SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 679221.0)																																			
SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 679221.0)																																			
SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 542486.0)																																			
SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 542486.0)																																			
SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 826101.0)																																			
SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 826101.0)																																			
SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 767186.0)																																			
SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 767186.0)																																			
SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 813172.0)																																			
SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 813172.0)																																			
SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 685079.0)																																			
SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 685079.0)																																			
SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 745122.0)																																			
SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 745122.0)																																			
SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 784516.0)																																			
SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 784516.0)																																			
SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 769389.0)																																			
SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 769389.0)																																			
SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 979260.0)																																			
SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 979260.0)																																			
SRR27013305_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 497367.0)																																			
SRR27013306_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 724684.0)																																			
SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 558224.0)																																			
SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 558224.0)																																			
SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 634978.0)																																			
SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 634978.0)																																			
SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 622819.0)																																			
SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 622819.0)																																			
SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(2.0, 1399.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 18.0)	(15.0, 67.0)	(16.0, 129.0)	(17.0, 274.0)	(18.0, 471.0)	(19.0, 669.0)	(20.0, 988.0)	(21.0, 1399.0)	(22.0, 2034.0)	(23.0, 2891.0)	(24.0, 4339.0)	(25.0, 6082.0)	(26.0, 8297.0)	(27.0, 11260.0)	(28.0, 14933.0)	(29.0, 19306.0)	(30.0, 24586.0)	(31.0, 31602.0)	(32.0, 40412.0)	(33.0, 50697.0)	(34.0, 64808.0)	(35.0, 83104.0)	(36.0, 107854.0)	(37.0, 144290.0)
SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(2.0, 1384.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 4.0)	(12.0, 51.0)	(13.0, 484.0)	(14.0, 1744.0)	(15.0, 2002.0)	(16.0, 2139.0)	(17.0, 2958.0)	(18.0, 4587.0)	(19.0, 6352.0)	(20.0, 8559.0)	(21.0, 10992.0)	(22.0, 13614.0)	(23.0, 16963.0)	(24.0, 20475.0)	(25.0, 23955.0)	(26.0, 27733.0)	(27.0, 31562.0)	(28.0, 35497.0)	(29.0, 39226.0)	(30.0, 41462.0)	(31.0, 42995.0)	(32.0, 42932.0)	(33.0, 41742.0)	(34.0, 41496.0)	(35.0, 45530.0)	(36.0, 54689.0)	(37.0, 60783.0)
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 634349.0)																																			
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 634349.0)																																			
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(2.0, 845.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 4.0)	(15.0, 11.0)	(16.0, 17.0)	(17.0, 25.0)	(18.0, 100.0)	(19.0, 214.0)	(20.0, 441.0)	(21.0, 789.0)	(22.0, 1208.0)	(23.0, 1924.0)	(24.0, 2885.0)	(25.0, 4144.0)	(26.0, 5898.0)	(27.0, 8114.0)	(28.0, 10879.0)	(29.0, 14232.0)	(30.0, 18154.0)	(31.0, 23268.0)	(32.0, 29809.0)	(33.0, 38208.0)	(34.0, 51013.0)	(35.0, 70259.0)	(36.0, 101565.0)	(37.0, 153870.0)
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(2.0, 846.0)	(3.0, 0.0)	(4.0, 1.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 27.0)	(14.0, 113.0)	(15.0, 232.0)	(16.0, 629.0)	(17.0, 1368.0)	(18.0, 2110.0)	(19.0, 2990.0)	(20.0, 4063.0)	(21.0, 5164.0)	(22.0, 6332.0)	(23.0, 7563.0)	(24.0, 8917.0)	(25.0, 10914.0)	(26.0, 12880.0)	(27.0, 15405.0)	(28.0, 18297.0)	(29.0, 22018.0)	(30.0, 26436.0)	(31.0, 32155.0)	(32.0, 39179.0)	(33.0, 47548.0)	(34.0, 57132.0)	(35.0, 62250.0)	(36.0, 65393.0)	(37.0, 87908.0)
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(2.0, 751.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 3.0)	(15.0, 10.0)	(16.0, 18.0)	(17.0, 23.0)	(18.0, 88.0)	(19.0, 196.0)	(20.0, 449.0)	(21.0, 770.0)	(22.0, 1292.0)	(23.0, 2041.0)	(24.0, 3135.0)	(25.0, 4492.0)	(26.0, 6369.0)	(27.0, 8811.0)	(28.0, 11751.0)	(29.0, 15151.0)	(30.0, 19813.0)	(31.0, 25492.0)	(32.0, 32714.0)	(33.0, 42151.0)	(34.0, 56331.0)	(35.0, 79771.0)	(36.0, 118714.0)	(37.0, 184966.0)
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(2.0, 756.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 28.0)	(14.0, 107.0)	(15.0, 252.0)	(16.0, 709.0)	(17.0, 1563.0)	(18.0, 2552.0)	(19.0, 3592.0)	(20.0, 4788.0)	(21.0, 6128.0)	(22.0, 7619.0)	(23.0, 9173.0)	(24.0, 10972.0)	(25.0, 13104.0)	(26.0, 15375.0)	(27.0, 18380.0)	(28.0, 21278.0)	(29.0, 25765.0)	(30.0, 30366.0)	(31.0, 36919.0)	(32.0, 44936.0)	(33.0, 54069.0)	(34.0, 64204.0)	(35.0, 71282.0)	(36.0, 75005.0)	(37.0, 96378.0)
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 819790.0)																																			
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 819790.0)																																			
SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 694286.0)																																			
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 654215.0)																																			
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 654215.0)																																			
SRR27013317_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 681782.0)																																			
SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 454778.0)																																			
SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 454778.0)																																			
SRR27013319_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 475515.0)																																			
SRR27013319_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 475515.0)																																			
SRR27013320_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 674525.0)																																			
SRR27013321_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(2.0, 1223.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 2.0)	(14.0, 8.0)	(15.0, 8.0)	(16.0, 29.0)	(17.0, 36.0)	(18.0, 109.0)	(19.0, 303.0)	(20.0, 612.0)	(21.0, 1039.0)	(22.0, 1448.0)	(23.0, 2398.0)	(24.0, 3429.0)	(25.0, 4718.0)	(26.0, 6697.0)	(27.0, 9146.0)	(28.0, 12290.0)	(29.0, 16167.0)	(30.0, 21266.0)	(31.0, 27346.0)	(32.0, 35495.0)	(33.0, 46471.0)	(34.0, 62635.0)	(35.0, 89622.0)	(36.0, 139165.0)	(37.0, 257118.0)
SRR27013321_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(2.0, 1223.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 2.0)	(13.0, 41.0)	(14.0, 144.0)	(15.0, 302.0)	(16.0, 715.0)	(17.0, 1526.0)	(18.0, 2613.0)	(19.0, 3828.0)	(20.0, 5154.0)	(21.0, 6528.0)	(22.0, 8126.0)	(23.0, 9879.0)	(24.0, 11858.0)	(25.0, 14442.0)	(26.0, 16776.0)	(27.0, 19938.0)	(28.0, 23203.0)	(29.0, 27758.0)	(30.0, 33275.0)	(31.0, 40877.0)	(32.0, 50334.0)	(33.0, 60859.0)	(34.0, 73799.0)	(35.0, 85931.0)	(36.0, 99275.0)	(37.0, 140372.0)
SRR27013322_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 753450.0)																																			
SRR27013322_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 753450.0)																																			
SRR27013323_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 576501.0)																																			
SRR27013323_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 576501.0)																																			
SRR27013324_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 658324.0)																																			
SRR27013324_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 658324.0)																																			
SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 748966.0)																																			
SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 748966.0)																																			
SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 669918.0)																																			
SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 669918.0)																																			
SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 642958.0)																																			
SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 642958.0)																																			
SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 626735.0)																																			
