Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 776.0)	(40, 1539.0)	(50, 1928.0)	(60, 2091.0)	(70, 2193.0)	(80, 2433.0)	(90, 2577.0)	(100, 2914.0)	(110, 3209.0)	(120, 3519.0)	(130, 4041.0)	(140, 4492.0)	(150, 5092.0)	(160, 5916.0)	(170, 6727.0)	(180, 7587.0)	(190, 8446.0)	(200, 9728.0)	(210, 10595.0)	(220, 11637.0)	(230, 12618.0)	(240, 13585.0)	(250, 14239.0)	(260, 15094.0)	(270, 15450.0)	(280, 15777.0)	(290, 38884.0)	(300, 374555.0)
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 3236.0)	(40, 6924.0)	(50, 7833.0)	(60, 8298.0)	(70, 8489.0)	(80, 8608.0)	(90, 8565.0)	(100, 8514.0)	(110, 8541.0)	(120, 8558.0)	(130, 8357.0)	(140, 8362.0)	(150, 8736.0)	(160, 8629.0)	(170, 8965.0)	(180, 9390.0)	(190, 9958.0)	(200, 10557.0)	(210, 10800.0)	(220, 11746.0)	(230, 12308.0)	(240, 12903.0)	(250, 13357.0)	(260, 13750.0)	(270, 13983.0)	(280, 13751.0)	(290, 36643.0)	(300, 278985.0)
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 3197.0)	(40, 6860.0)	(50, 7751.0)	(60, 8171.0)	(70, 8381.0)	(80, 8483.0)	(90, 8416.0)	(100, 8328.0)	(110, 8345.0)	(120, 8327.0)	(130, 8106.0)	(140, 8039.0)	(150, 8340.0)	(160, 8150.0)	(170, 8398.0)	(180, 8717.0)	(190, 9080.0)	(200, 9452.0)	(210, 9310.0)	(220, 9929.0)	(230, 10062.0)	(240, 10108.0)	(250, 9828.0)	(260, 9168.0)	(270, 8352.0)	(280, 7762.0)	(290, 18112.0)	(300, 331574.0)
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 818.0)	(40, 1806.0)	(50, 2232.0)	(60, 2377.0)	(70, 2515.0)	(80, 2883.0)	(90, 2986.0)	(100, 3335.0)	(110, 3746.0)	(120, 3996.0)	(130, 4612.0)	(140, 5151.0)	(150, 5874.0)	(160, 6424.0)	(170, 7400.0)	(180, 8404.0)	(190, 9448.0)	(200, 10697.0)	(210, 11628.0)	(220, 12641.0)	(230, 13704.0)	(240, 14792.0)	(250, 15827.0)	(260, 16638.0)	(270, 17226.0)	(280, 17540.0)	(290, 43109.0)	(300, 344304.0)
SRR27013257_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 233.0)	(40, 537.0)	(50, 576.0)	(60, 668.0)	(70, 797.0)	(80, 851.0)	(90, 963.0)	(100, 1136.0)	(110, 1328.0)	(120, 1409.0)	(130, 1807.0)	(140, 2068.0)	(150, 2575.0)	(160, 2947.0)	(170, 3674.0)	(180, 4334.0)	(190, 5220.0)	(200, 6051.0)	(210, 7113.0)	(220, 8066.0)	(230, 8978.0)	(240, 10265.0)	(250, 11251.0)	(260, 12361.0)	(270, 13076.0)	(280, 13854.0)	(290, 39399.0)	(300, 347105.0)
SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 362.0)	(40, 839.0)	(50, 1037.0)	(60, 1100.0)	(70, 1293.0)	(80, 1398.0)	(90, 1555.0)	(100, 1734.0)	(110, 2053.0)	(120, 2273.0)	(130, 2573.0)	(140, 2978.0)	(150, 3482.0)	(160, 4065.0)	(170, 4835.0)	(180, 5480.0)	(190, 6287.0)	(200, 7362.0)	(210, 8213.0)	(220, 9491.0)	(230, 10437.0)	(240, 11281.0)	(250, 12080.0)	(260, 13239.0)	(270, 13718.0)	(280, 14663.0)	(290, 39091.0)	(300, 334076.0)
SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 371.0)	(40, 843.0)	(50, 1034.0)	(60, 1093.0)	(70, 1294.0)	(80, 1392.0)	(90, 1541.0)	(100, 1717.0)	(110, 2039.0)	(120, 2265.0)	(130, 2569.0)	(140, 2966.0)	(150, 3436.0)	(160, 4024.0)	(170, 4766.0)	(180, 5389.0)	(190, 6186.0)	(200, 7210.0)	(210, 7969.0)	(220, 9197.0)	(230, 9984.0)	(240, 10711.0)	(250, 11372.0)	(260, 12269.0)	(270, 12623.0)	(280, 13436.0)	(290, 37925.0)	(300, 341374.0)
SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 200.0)	(40, 448.0)	(50, 577.0)	(60, 630.0)	(70, 643.0)	(80, 809.0)	(90, 929.0)	(100, 986.0)	(110, 1163.0)	(120, 1339.0)	(130, 1614.0)	(140, 2042.0)	(150, 2483.0)	(160, 2977.0)	(170, 3552.0)	(180, 4391.0)	(190, 5145.0)	(200, 6139.0)	(210, 7102.0)	(220, 8529.0)	(230, 9477.0)	(240, 10366.0)	(250, 11656.0)	(260, 12563.0)	(270, 13570.0)	(280, 14195.0)	(290, 39527.0)	(300, 346883.0)
SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 210.0)	(40, 438.0)	(50, 575.0)	(60, 627.0)	(70, 639.0)	(80, 804.0)	(90, 902.0)	(100, 973.0)	(110, 1125.0)	(120, 1308.0)	(130, 1593.0)	(140, 1999.0)	(150, 2421.0)	(160, 2907.0)	(170, 3461.0)	(180, 4244.0)	(190, 4932.0)	(200, 5857.0)	(210, 6773.0)	(220, 8048.0)	(230, 8891.0)	(240, 9575.0)	(250, 10628.0)	(260, 11258.0)	(270, 12071.0)	(280, 12546.0)	(290, 38382.0)	(300, 356748.0)
SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 551.0)	(40, 1275.0)	(50, 1433.0)	(60, 1669.0)	(70, 1779.0)	(80, 1858.0)	(90, 2082.0)	(100, 2364.0)	(110, 2660.0)	(120, 2879.0)	(130, 3344.0)	(140, 3923.0)	(150, 4405.0)	(160, 5132.0)	(170, 6080.0)	(180, 6904.0)	(190, 7953.0)	(200, 9180.0)	(210, 10337.0)	(220, 11582.0)	(230, 12830.0)	(240, 13945.0)	(250, 14939.0)	(260, 16021.0)	(270, 16825.0)	(280, 17490.0)	(290, 46358.0)	(300, 397928.0)
SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 561.0)	(40, 1276.0)	(50, 1433.0)	(60, 1656.0)	(70, 1759.0)	(80, 1844.0)	(90, 2078.0)	(100, 2344.0)	(110, 2637.0)	(120, 2860.0)	(130, 3336.0)	(140, 3895.0)	(150, 4365.0)	(160, 5063.0)	(170, 5959.0)	(180, 6777.0)	(190, 7800.0)	(200, 8939.0)	(210, 10017.0)	(220, 11175.0)	(230, 12232.0)	(240, 13159.0)	(250, 14027.0)	(260, 14829.0)	(270, 15403.0)	(280, 16029.0)	(290, 44886.0)	(300, 407387.0)
SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 3577.0)	(40, 7538.0)	(50, 8423.0)	(60, 8755.0)	(70, 8636.0)	(80, 8677.0)	(90, 8671.0)	(100, 8871.0)	(110, 8764.0)	(120, 8808.0)	(130, 9031.0)	(140, 9170.0)	(150, 9674.0)	(160, 9994.0)	(170, 10554.0)	(180, 11026.0)	(190, 11838.0)	(200, 12775.0)	(210, 13452.0)	(220, 14538.0)	(230, 15224.0)	(240, 16106.0)	(250, 16888.0)	(260, 17459.0)	(270, 18145.0)	(280, 18470.0)	(290, 40296.0)	(300, 302054.0)
SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 3568.0)	(40, 7523.0)	(50, 8416.0)	(60, 8763.0)	(70, 8639.0)	(80, 8674.0)	(90, 8659.0)	(100, 8845.0)	(110, 8710.0)	(120, 8784.0)	(130, 8957.0)	(140, 9076.0)	(150, 9581.0)	(160, 9883.0)	(170, 10408.0)	(180, 10829.0)	(190, 11581.0)	(200, 12480.0)	(210, 13097.0)	(220, 14043.0)	(230, 14504.0)	(240, 15221.0)	(250, 15771.0)	(260, 15967.0)	(270, 16352.0)	(280, 15893.0)	(290, 25967.0)	(300, 327223.0)
SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 422.0)	(40, 1108.0)	(50, 1321.0)	(60, 1477.0)	(70, 1676.0)	(80, 1874.0)	(90, 2067.0)	(100, 2298.0)	(110, 2701.0)	(120, 3125.0)	(130, 3622.0)	(140, 4122.0)	(150, 4956.0)	(160, 5673.0)	(170, 6576.0)	(180, 7714.0)	(190, 8608.0)	(200, 10002.0)	(210, 11367.0)	(220, 12532.0)	(230, 13889.0)	(240, 15253.0)	(250, 16195.0)	(260, 17515.0)	(270, 18050.0)	(280, 19168.0)	(290, 48740.0)	(300, 402245.0)
SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 445.0)	(40, 1109.0)	(50, 1316.0)	(60, 1483.0)	(70, 1670.0)	(80, 1886.0)	(90, 2056.0)	(100, 2311.0)	(110, 2675.0)	(120, 3115.0)	(130, 3620.0)	(140, 4116.0)	(150, 4914.0)	(160, 5608.0)	(170, 6489.0)	(180, 7621.0)	(190, 8496.0)	(200, 9859.0)	(210, 11118.0)	(220, 12117.0)	(230, 13321.0)	(240, 14556.0)	(250, 15297.0)	(260, 16343.0)	(270, 16745.0)	(280, 17643.0)	(290, 46959.0)	(300, 411408.0)
SRR27013263_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 3171.0)	(40, 6682.0)	(50, 7468.0)	(60, 7797.0)	(70, 7843.0)	(80, 7874.0)	(90, 7886.0)	(100, 7919.0)	(110, 7959.0)	(120, 8255.0)	(130, 8432.0)	(140, 8613.0)	(150, 9270.0)	(160, 9875.0)	(170, 10258.0)	(180, 11132.0)	(190, 12170.0)	(200, 13172.0)	(210, 14002.0)	(220, 15217.0)	(230, 15993.0)	(240, 16786.0)	(250, 17567.0)	(260, 18196.0)	(270, 18451.0)	(280, 17691.0)	(290, 28905.0)	(300, 357769.0)
SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 2919.0)	(40, 6793.0)	(50, 7800.0)	(60, 8271.0)	(70, 8517.0)	(80, 8585.0)	(90, 8501.0)	(100, 8667.0)	(110, 8644.0)	(120, 8921.0)	(130, 8994.0)	(140, 9371.0)	(150, 9713.0)	(160, 10108.0)	(170, 10811.0)	(180, 11749.0)	(190, 12382.0)	(200, 13467.0)	(210, 14458.0)	(220, 15281.0)	(230, 16632.0)	(240, 17841.0)	(250, 18671.0)	(260, 19478.0)	(270, 19687.0)	(280, 20259.0)	(290, 46804.0)	(300, 362826.0)
SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 2884.0)	(40, 6724.0)	(50, 7753.0)	(60, 8229.0)	(70, 8467.0)	(80, 8509.0)	(90, 8400.0)	(100, 8539.0)	(110, 8523.0)	(120, 8760.0)	(130, 8880.0)	(140, 9222.0)	(150, 9479.0)	(160, 9897.0)	(170, 10527.0)	(180, 11390.0)	(190, 12029.0)	(200, 12987.0)	(210, 13846.0)	(220, 14334.0)	(230, 15602.0)	(240, 16565.0)	(250, 17000.0)	(260, 17531.0)	(270, 17531.0)	(280, 17950.0)	(290, 45359.0)	(300, 379233.0)
SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 5883.0)	(40, 12248.0)	(50, 13770.0)	(60, 14507.0)	(70, 15242.0)	(80, 15316.0)	(90, 16135.0)	(100, 16577.0)	(110, 17647.0)	(120, 18309.0)	(130, 19490.0)	(140, 20455.0)	(150, 21877.0)	(160, 23514.0)	(170, 24311.0)	(180, 25606.0)	(190, 27046.0)	(200, 27976.0)	(210, 28849.0)	(220, 30015.0)	(230, 30306.0)	(240, 30574.0)	(250, 30617.0)	(260, 30339.0)	(270, 30254.0)	(280, 30198.0)	(290, 63179.0)	(300, 463075.0)
SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 5841.0)	(40, 12184.0)	(50, 13704.0)	(60, 14447.0)	(70, 15173.0)	(80, 15213.0)	(90, 16038.0)	(100, 16479.0)	(110, 17535.0)	(120, 18185.0)	(130, 19358.0)	(140, 20251.0)	(150, 21589.0)	(160, 23226.0)	(170, 23933.0)	(180, 25084.0)	(190, 26277.0)	(200, 26958.0)	(210, 27535.0)	(220, 28340.0)	(230, 28295.0)	(240, 28176.0)	(250, 27968.0)	(260, 31824.0)	(270, 30959.0)	(280, 24392.0)	(290, 50481.0)	(300, 493870.0)
SRR27013266_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 4422.0)	(40, 8784.0)	(50, 9770.0)	(60, 10373.0)	(70, 10579.0)	(80, 10661.0)	(90, 10757.0)	(100, 10782.0)	(110, 10938.0)	(120, 10861.0)	(130, 11451.0)	(140, 11964.0)	(150, 12534.0)	(160, 12995.0)	(170, 14137.0)	(180, 14719.0)	(190, 15768.0)	(200, 16939.0)	(210, 17947.0)	(220, 18566.0)	(230, 19490.0)	(240, 20567.0)	(250, 21180.0)	(260, 25572.0)	(270, 25985.0)	(280, 19965.0)	(290, 46555.0)	(300, 489820.0)
SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 3319.0)	(40, 6949.0)	(50, 7980.0)	(60, 8822.0)	(70, 9062.0)	(80, 9429.0)	(90, 9943.0)	(100, 10296.0)	(110, 10994.0)	(120, 11815.0)	(130, 12767.0)	(140, 13705.0)	(150, 15007.0)	(160, 16164.0)	(170, 17850.0)	(180, 18638.0)	(190, 20210.0)	(200, 21696.0)	(210, 22994.0)	(220, 23656.0)	(230, 25046.0)	(240, 25618.0)	(250, 26519.0)	(260, 26554.0)	(270, 26642.0)	(280, 26380.0)	(290, 51413.0)	(300, 353582.0)
SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 3328.0)	(40, 6966.0)	(50, 8042.0)	(60, 8849.0)	(70, 9105.0)	(80, 9447.0)	(90, 9967.0)	(100, 10344.0)	(110, 11042.0)	(120, 11856.0)	(130, 12806.0)	(140, 13737.0)	(150, 15053.0)	(160, 16197.0)	(170, 17860.0)	(180, 18598.0)	(190, 20116.0)	(200, 21529.0)	(210, 22669.0)	(220, 23187.0)	(230, 24353.0)	(240, 24678.0)	(250, 25168.0)	(260, 24661.0)	(270, 24275.0)	(280, 23589.0)	(290, 42810.0)	(300, 372818.0)
SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 12279.0)	(40, 25682.0)	(50, 29396.0)	(60, 30543.0)	(70, 31164.0)	(80, 31403.0)	(90, 31267.0)	(100, 31531.0)	(110, 31454.0)	(120, 31583.0)	(130, 31720.0)	(140, 31985.0)	(150, 32413.0)	(160, 33248.0)	(170, 33982.0)	(180, 34707.0)	(190, 35866.0)	(200, 36572.0)	(210, 37725.0)	(220, 38379.0)	(230, 38683.0)	(240, 39047.0)	(250, 38888.0)	(260, 37544.0)	(270, 37012.0)	(280, 36235.0)	(290, 65141.0)	(300, 423479.0)
