Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	491294.0	136.9 Mbp	0.0	31-301	41.0	75.07961684620209	278.5936679462806	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	491294.0	136.9 Mbp	0.0	31-301	41.0	78.48622348041442	278.6061869267689	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013247_1	SRR27013247_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418245.0	119.9 Mbp	0.0	31-301	40.0	78.63751764898956	286.64096163731784	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013247_2	SRR27013247_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418245.0	119.9 Mbp	0.0	31-301	40.0	81.96408446021256	286.6646738155866	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418245.0	119.9 Mbp	0.0	31-301	40.0	78.63751764898956	286.64096163731784	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418245.0	119.9 Mbp	0.0	31-301	40.0	81.96408446021256	286.6646738155866	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013248_1	SRR27013248_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	604965.0	163 Mbp	0.0	31-301	41.0	72.05711405353883	269.40144719115983	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013248_2	SRR27013248_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	604965.0	163 Mbp	0.0	31-301	41.0	74.51745713549326	269.389483689139	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013249_1	SRR27013249_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	540271.0	147.1 Mbp	0.0	31-301	40.0	76.23832024640892	272.21725671005845	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013249_2	SRR27013249_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	540271.0	147.1 Mbp	0.0	31-301	40.0	79.01387261295947	272.2240782866376	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	540271.0	147.1 Mbp	0.0	31-301	40.0	76.23832024640892	272.21725671005845	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	540271.0	147.1 Mbp	0.0	31-301	40.0	79.01387261295947	272.2240782866376	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013250_1	SRR27013250_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	694326.0	189.7 Mbp	0.0	31-301	40.0	71.92781829457986	273.1603972773596	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013250_2	SRR27013250_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	694326.0	189.7 Mbp	0.0	31-301	40.0	74.31546399427943	273.14433709813545	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	694326.0	189.7 Mbp	0.0	31-301	40.0	71.92781829457986	273.1603972773596	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	694326.0	189.7 Mbp	0.0	31-301	40.0	74.31546399427943	273.14433709813545	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013251_1	SRR27013251_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	497479.0	141.9 Mbp	0.0	31-301	42.0	69.42190913216805	285.3518701291914	301	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
SRR27013251_2	SRR27013251_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	497479.0	142 Mbp	0.0	31-301	42.0	72.5820411244846	285.3951885406218	301	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	497479.0	141.9 Mbp	0.0	31-301	42.0	69.42190913216805	285.3518701291914	301	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	497479.0	142 Mbp	0.0	31-301	42.0	72.5820411244846	285.3951885406218	301	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
SRR27013252_1	SRR27013252_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	561627.0	153.1 Mbp	0.0	31-301	41.0	71.84639353282356	272.62635076305094	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013252_2	SRR27013252_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	561627.0	153.1 Mbp	0.0	31-301	41.0	74.57781986840631	272.6162043491499	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	561627.0	153.1 Mbp	0.0	31-301	41.0	71.84639353282356	272.62635076305094	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	561627.0	153.1 Mbp	0.0	31-301	41.0	74.57781986840631	272.6162043491499	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013253_1	SRR27013253_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	505237.0	144.5 Mbp	0.0	31-301	40.0	77.39530280581587	285.9914119512229	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013253_2	SRR27013253_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	505237.0	144.5 Mbp	0.0	31-301	40.0	80.54073116227227	286.01487618681927	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013254_1	SRR27013254_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597439.0	162.3 Mbp	0.0	31-301	40.0	74.65480416765735	271.6144150281451	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013254_2	SRR27013254_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597439.0	162.2 Mbp	0.0	31-301	41.0	77.22999171827094	271.62466209939424	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597439.0	162.3 Mbp	0.0	31-301	40.0	74.65480416765735	271.6144150281451	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597439.0	162.2 Mbp	0.0	31-301	41.0	77.22999171827094	271.62466209939424	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013255_1	SRR27013255_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	567956.0	139.1 Mbp	0.0	31-301	40.0	76.66021364344817	244.89358418609893	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013255_2	SRR27013255_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	567956.0	139.1 Mbp	0.0	31-301	41.0	80.0399577864174	245.14387646226115	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	567956.0	139.1 Mbp	0.0	31-301	40.0	76.66021364344817	244.89358418609893	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	567956.0	139.1 Mbp	0.0	31-301	41.0	80.0399577864174	245.14387646226115	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013256_1	SRR27013256_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	591901.0	159 Mbp	0.0	31-301	40.0	75.5394296555889	268.6925524707679	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013256_2	SRR27013256_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	591901.0	159 Mbp	0.0	31-301	40.0	78.03681058550123	268.7477889038876	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91632.0	24.5 Mbp	0.0	32-301	40.0	94.12977998952331	268.1808702200105	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91632.0	24.5 Mbp	0.0	32-301	40.0	94.73982888074035	268.2350325213899	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013257_1	SRR27013257_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	508471.0	143.4 Mbp	0.0	31-301	40.0	78.20668916294316	282.00628649421503	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013257_2	SRR27013257_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	508471.0	143.3 Mbp	0.0	31-301	40.0	82.59204563661652	281.9049631149072	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013258_1	SRR27013258_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	516793.0	143.2 Mbp	0.0	31-301	40.0	77.57383629902047	277.20298262553865	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013258_2	SRR27013258_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	516793.0	143.1 Mbp	0.0	31-301	40.0	81.16765946343051	276.9923615451448	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013259_1	SRR27013259_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	509749.0	143.9 Mbp	0.0	31-301	40.0	78.71916678329742	282.27541397825206	301	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR27013259_2	SRR27013259_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	509749.0	143.9 Mbp	0.0	31-301	40.0	83.70778554086222	282.28340222344724	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013260_1	SRR27013260_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	623414.0	171.9 Mbp	0.0	31-301	40.0	74.5722100337958	275.82128008033186	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013260_2	SRR27013260_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	623414.0	171.8 Mbp	0.0	31-301	41.0	78.96479593101205	275.6641485433436	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013261_1	SRR27013261_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	636493.0	156.5 Mbp	0.0	31-301	41.0	73.36082531287965	245.8921425687321	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013261_2	SRR27013261_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	636493.0	156.4 Mbp	0.0	31-301	41.0	76.53514957428695	245.90623306147907	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013262_1	SRR27013262_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644036.0	177.3 Mbp	0.0	31-301	40.0	74.48431756219516	275.24657783105295	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013262_2	SRR27013262_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644036.0	177.1 Mbp	0.0	31-301	40.0	78.6438854596452	274.98079532821146	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013263_1	SRR27013263_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	675566.0	169.3 Mbp	0.0	31-301	41.0	72.9015789892631	250.6600450585139	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013263_2	SRR27013263_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	675566.0	169.2 Mbp	0.0	31-301	41.0	75.91918254568382	250.66377674424112	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013264_1	SRR27013264_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	715367.0	180 Mbp	0.0	31-301	40.0	72.59383378536242	251.60636638257006	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013264_2	SRR27013264_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	715367.0	179.8 Mbp	0.0	31-301	41.0	77.60710176897351	251.405751173873	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013265_1	SRR27013265_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1077573.0	256.4 Mbp	0.0	31-301	41.0	65.21019903957168	237.8974630953077	274	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013265_2	SRR27013265_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1077573.0	256.3 Mbp	0.0	31-301	41.0	68.74718003850052	237.87837807740172	274	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013266_1	SRR27013266_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	891736.0	223.8 Mbp	0.0	31-301	41.0	67.71985035630695	250.95908598508976	301	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013266_2	SRR27013266_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	891736.0	223.8 Mbp	0.0	31-301	41.0	72.21864919661922	250.9540211452717	301	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013267_1	SRR27013267_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	832056.0	203.3 Mbp	0.0	31-301	41.0	68.95527738687342	244.37791627005873	284	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013267_2	SRR27013267_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	832056.0	202.8 Mbp	0.0	31-301	41.0	70.96952470352257	243.80233842433682	284	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013268_1	SRR27013268_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1302260.0	280.1 Mbp	0.0	31-301	40.0	64.43960623221167	215.09290310690645	234	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
SRR27013268_2	SRR27013268_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1302260.0	279.6 Mbp	0.0	31-301	40.0	67.06115038331208	214.71491292061492	234	pass	fail	fail	pass	fail	pass	pass	warn	warn	pass	pass
SRR27013269_1	SRR27013269_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	748140.0	185.4 Mbp	0.0	31-301	41.0	71.27480985651552	247.82171251370065	294	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013269_2	SRR27013269_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	748140.0	185.2 Mbp	0.0	31-301	41.0	74.05869952368018	247.5907684390622	294	pass	fail	fail	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013270_1	SRR27013270_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	414930.0	116.4 Mbp	0.0	31-301	40.0	81.57382266612375	280.65049526426145	301	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR27013270_2	SRR27013270_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	414930.0	116.5 Mbp	0.0	31-301	40.0	84.6044447334496	280.86554117561997	301	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR27013271_1	SRR27013271_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	766488.0	185.2 Mbp	0.0	31-301	41.0	71.28866230345092	241.58363079395895	284	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013271_2	SRR27013271_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	766488.0	185.2 Mbp	0.0	31-301	41.0	75.1491751930956	241.6099651918882	284	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013272_1	SRR27013272_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	663994.0	160.4 Mbp	0.0	31-301	41.0	74.07490019978695	241.529585357699	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013272_2	SRR27013272_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	663994.0	160.1 Mbp	0.0	31-301	41.0	76.7325446947122	241.20748079048906	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013273_1	SRR27013273_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	917324.0	237.1 Mbp	0.0	31-301	41.0	65.613424876163	258.45419611827447	301	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013273_2	SRR27013273_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	917324.0	237.1 Mbp	0.0	31-301	41.0	69.78614126709277	258.4741012989958	301	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013274_1	SRR27013274_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	970245.0	225.6 Mbp	0.0	31-301	41.0	67.80495243966556	232.47786229251375	274	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013274_2	SRR27013274_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	970245.0	225.5 Mbp	0.0	31-301	41.0	72.1048028740349	232.48452658864514	274	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR27013275_1	SRR27013275_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1051245.0	243.1 Mbp	0.0	31-301	41.0	66.19841179868598	231.2197979538547	264	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013275_2	SRR27013275_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1051245.0	242.7 Mbp	0.0	31-301	41.0	68.69576276684096	230.9883366865003	264	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013276_1	SRR27013276_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	715620.0	173.8 Mbp	0.0	31-301	41.0	71.70713570360634	242.88943783013332	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013276_2	SRR27013276_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	715620.0	173.4 Mbp	0.0	31-301	41.0	74.80873471827977	242.5080440736704	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013277_1	SRR27013277_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	502249.0	139.7 Mbp	0.0	31-301	40.0	77.08951015101904	278.14139600078846	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013277_2	SRR27013277_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	502249.0	139.6 Mbp	0.0	31-301	40.0	81.17545054211456	278.2208645512485	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013278_1	SRR27013278_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	662667.0	173.9 Mbp	0.0	31-301	41.0	71.95550751363295	262.5050711745115	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013278_2	SRR27013278_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	662667.0	173.9 Mbp	0.0	31-301	41.0	76.47159067251432	262.58531736151036	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013279_1	SRR27013279_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	569516.0	157.6 Mbp	0.0	31-301	41.0	73.59504871327633	276.7058414513376	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
