# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-O" "-t" "gene" "-g" "ID" "-a" "genome/s_aureus_USA300.gff3" "-o" "counts/counts.txt" "mapped_reads/fm_1.bam" "mapped_reads/fm_2.bam" "mapped_reads/fm_3.bam" "mapped_reads/fm_4.bam" "mapped_reads/m_1.bam" "mapped_reads/m_2.bam" "mapped_reads/m_3.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped_reads/fm_1.bam	mapped_reads/fm_2.bam	mapped_reads/fm_3.bam	mapped_reads/fm_4.bam	mapped_reads/m_1.bam	mapped_reads/m_2.bam	mapped_reads/m_3.bam
gene-SAOUHSC_00053	NC_007795.1	56284	57054	+	771	1	0	0	0	0	0	2
gene-SAOUHSC_00054	NC_007795.1	57118	57888	+	771	4	0	0	0	0	0	0
gene-SAOUHSC_00055	NC_007795.1	57955	58722	+	768	12	4	1	8	1	2	6
gene-SAOUHSC_00056	NC_007795.1	58855	61053	+	2199	107	54	35	81	93	108	212
gene-SAOUHSC_00057	NC_007795.1	61204	62382	+	1179	133	2	12	100	114	41	38
gene-SAOUHSC_00058	NC_007795.1	62384	63772	+	1389	298	37	50	338	226	132	56
gene-SAOUHSC_00060	NC_007795.1	64265	65926	-	1662	477	74	276	286	286	297	1949
gene-SAOUHSC_00061	NC_007795.1	66252	68027	-	1776	693	38	242	550	188	64	113
gene-SAOUHSC_00062	NC_007795.1	68201	69073	-	873	0	0	1	0	0	0	0
gene-SAOUHSC_00064	NC_007795.1	69186	70583	+	1398	0	0	0	0	2	0	0
gene-SAOUHSC_00065	NC_007795.1	70773	71246	+	474	0	0	21	6	26	12	0
gene-SAOUHSC_00067	NC_007795.1	71508	73100	+	1593	110	18	50	94	66	36	340
gene-SAOUHSC_00069	NC_007795.1	73429	74979	-	1551	170	30	300	4	46	54	697
gene-SAOUHSC_00070	NC_007795.1	75400	76152	-	753	24	4	112	8	12	6	18
gene-SAOUHSC_00071	NC_007795.1	76521	77435	-	915	38	6	4	15	8	4	44
gene-SAOUHSC_00072	NC_007795.1	77516	78511	-	996	12	4	2	27	8	10	50
gene-SAOUHSC_00074	NC_007795.1	78527	79519	-	993	2	0	8	1	12	8	6
gene-SAOUHSC_00075	NC_007795.1	79885	80730	+	846	0	0	0	0	0	0	3
gene-SAOUHSC_00076	NC_007795.1	80727	81737	+	1011	4	0	0	0	2	2	8
gene-SAOUHSC_00077	NC_007795.1	81758	83512	+	1755	14	0	4	12	6	12	44
gene-SAOUHSC_00078	NC_007795.1	83505	84761	+	1257	20	0	40	14	8	0	36
gene-SAOUHSC_00079	NC_007795.1	84751	86487	+	1737	1	0	20	22	0	8	77
gene-SAOUHSC_00080	NC_007795.1	86396	88246	+	1851	36	4	44	12	16	10	69
gene-SAOUHSC_00081	NC_007795.1	88221	88997	+	777	58	2	10	8	44	30	20
gene-SAOUHSC_00082	NC_007795.1	88997	90199	+	1203	36	10	16	16	18	14	20
gene-SAOUHSC_00083	NC_007795.1	90203	90967	+	765	4	0	6	0	0	0	8
gene-SAOUHSC_00084	NC_007795.1	91163	91570	+	408	6	0	0	0	0	0	0
gene-SAOUHSC_00085	NC_007795.1	91620	92246	+	627	2	0	0	0	0	0	0
gene-SAOUHSC_00086	NC_007795.1	92458	93234	+	777	17619	1518	6418	22051	13000	4492	7471
gene-SAOUHSC_00087	NC_007795.1	93378	93500	+	123	2	0	0	0	0	0	0
gene-SAOUHSC_00088	NC_007795.1	93570	94550	+	981	0	0	4	0	0	2	0
gene-SAOUHSC_00089	NC_007795.1	94513	95205	+	693	0	0	10	0	3	2	0
gene-SAOUHSC_00090	NC_007795.1	95415	96581	+	1167	4	0	0	2	5	4	0
gene-SAOUHSC_00091	NC_007795.1	96562	97800	+	1239	0	0	0	0	0	0	4
gene-SAOUHSC_00092	NC_007795.1	97790	99220	+	1431	10	22	16	12	27	36	41
gene-SAOUHSC_00093	NC_007795.1	99488	100087	+	600	6	0	2	0	9	6	13
gene-SAOUHSC_00094	NC_007795.1	100455	101054	+	600	1417	68	268	198	186	40	0
gene-SAOUHSC_00096	NC_007795.1	101370	102125	-	756	134	40	102	30	56	33	131
gene-SAOUHSC_00097	NC_007795.1	102361	103068	+	708	28	11	20	14	0	4	58
gene-SAOUHSC_00099	NC_007795.1	103075	104427	+	1353	46	4	114	74	31	18	105
gene-SAOUHSC_00100	NC_007795.1	104508	105170	+	663	133	12	162	219	89	46	468
gene-SAOUHSC_00101	NC_007795.1	105198	106376	+	1179	666	230	435	690	692	242	2467
gene-SAOUHSC_00102	NC_007795.1	106507	107322	-	816	35	4	0	4	14	4	99
gene-SAOUHSC_00103	NC_007795.1	107319	108119	-	801	24	6	18	11	26	6	147
gene-SAOUHSC_00104	NC_007795.1	108121	108894	-	774	20	2	0	0	14	2	53
gene-SAOUHSC_00105	NC_007795.1	109108	110064	-	957	6	0	8	4	0	2	44
gene-SAOUHSC_00106	NC_007795.1	110293	111837	+	1545	18	16	2	4	28	6	79
gene-SAOUHSC_00107	NC_007795.1	111888	113423	+	1536	14	22	12	38	71	26	130
gene-SAOUHSC_00108	NC_007795.1	113507	113710	+	204	27	2	14	4	5	2	12
gene-SAOUHSC_00109	NC_007795.1	114083	114568	+	486	1	0	0	0	0	0	0
gene-SAOUHSC_00111	NC_007795.1	114927	115214	+	288	0	0	0	0	0	0	0
gene-SAOUHSC_00113	NC_007795.1	116538	119147	+	2610	62	6	97	40	36	18	460
gene-SAOUHSC_00114	NC_007795.1	119492	120160	+	669	52	12	9	29	22	0	42
gene-SAOUHSC_00115	NC_007795.1	120176	120862	+	687	489	132	229	737	515	28	527
gene-SAOUHSC_00116	NC_007795.1	120865	121629	+	765	68	55	29	87	101	13	115
gene-SAOUHSC_00117	NC_007795.1	121649	123472	+	1824	368	30	144	200	98	10	136
gene-SAOUHSC_00118	NC_007795.1	123462	124490	+	1029	128	21	16	66	101	4	253
gene-SAOUHSC_00119	NC_007795.1	124503	125612	+	1110	269	42	219	155	143	4	217
gene-SAOUHSC_00120	NC_007795.1	125616	126740	+	1125	241	90	139	176	120	0	134
gene-SAOUHSC_00121	NC_007795.1	126743	127369	+	627	31	46	10	55	82	0	1
gene-SAOUHSC_00122	NC_007795.1	127374	128483	+	1110	0	76	103	36	88	2	0
gene-SAOUHSC_00123	NC_007795.1	128497	129663	+	1167	0	25	131	43	91	0	0
gene-SAOUHSC_00124	NC_007795.1	129656	130861	+	1206	8	26	143	20	33	0	5
gene-SAOUHSC_00125	NC_007795.1	130862	132067	+	1206	553	67	148	354	410	8	103
gene-SAOUHSC_00126	NC_007795.1	132078	132635	+	558	48	27	26	25	46	2	24
gene-SAOUHSC_00127	NC_007795.1	132635	133522	+	888	1102	233	299	730	754	26	541
gene-SAOUHSC_00128	NC_007795.1	133576	134838	+	1263	780	293	243	452	459	16	569
gene-SAOUHSC_00129	NC_007795.1	134915	136060	+	1146	242	47	35	134	174	6	99
gene-SAOUHSC_00130	NC_007795.1	136125	136451	-	327	3	8	0	2	1	0	7
gene-SAOUHSC_00131	NC_007795.1	136458	136841	-	384	14	9	1	2	1	1	2
gene-SAOUHSC_00132	NC_007795.1	137268	138755	+	1488	16490	1351	5058	7575	9963	11242	23894
gene-SAOUHSC_00133	NC_007795.1	139401	140360	+	960	407	108	68	175	233	91	210
gene-SAOUHSC_00134	NC_007795.1	140422	140625	-	204	213	100	3	310	365	187	70
gene-SAOUHSC_00135	NC_007795.1	140804	141316	+	513	4	3	0	9	5	3	8
gene-SAOUHSC_00136	NC_007795.1	141658	142398	+	741	32	2	4	2	11	3	4
gene-SAOUHSC_00137	NC_007795.1	142412	143386	+	975	32	12	0	2	7	6	15
gene-SAOUHSC_00138	NC_007795.1	143383	144144	+	762	0	8	9	2	6	2	17
gene-SAOUHSC_00139	NC_007795.1	144157	145188	+	1032	36	0	18	10	12	4	6
gene-SAOUHSC_00141	NC_007795.1	145405	145764	+	360	136	25	20	168	134	42	0
gene-SAOUHSC_00142	NC_007795.1	145937	146962	+	1026	56	8	34	24	40	8	0
gene-SAOUHSC_00143	NC_007795.1	147348	148598	+	1251	32	10	26	4	2	8	246
gene-SAOUHSC_00144	NC_007795.1	149045	156220	+	7176	913	247	694	1113	944	869	4010
gene-SAOUHSC_00145	NC_007795.1	156233	156877	+	645	56	0	20	46	52	20	550
gene-SAOUHSC_00146	NC_007795.1	157205	157684	-	480	1257	34	8	281	419	172	263
gene-SAOUHSC_00147	NC_007795.1	157954	158718	-	765	146	1	13	20	24	3	47
gene-SAOUHSC_00148	NC_007795.1	158734	159975	-	1242	4	5	14	28	18	11	21
gene-SAOUHSC_00149	NC_007795.1	159987	161018	-	1032	6	4	0	2	2	2	20
gene-SAOUHSC_00150	NC_007795.1	161057	162241	-	1185	46	6	36	4	10	14	18
gene-SAOUHSC_00151	NC_007795.1	162494	163849	-	1356	12	2	18	10	0	16	114
gene-SAOUHSC_00152	NC_007795.1	164125	164622	-	498	141	21	132	99	141	92	441
gene-SAOUHSC_00153	NC_007795.1	164749	166389	-	1641	1179	104	815	619	834	713	6306
gene-SAOUHSC_00154	NC_007795.1	166583	166684	+	102	0	0	0	0	0	0	0
gene-SAOUHSC_00155	NC_007795.1	166663	168660	-	1998	102	28	62	86	30	42	177
gene-SAOUHSC_00156	NC_007795.1	169309	170349	+	1041	48	80	86	216	136	74	398
gene-SAOUHSC_00157	NC_007795.1	170349	171245	+	897	28	26	38	74	54	34	330
gene-SAOUHSC_00158	NC_007795.1	171257	172711	+	1455	18	75	194	59	114	19	348
gene-SAOUHSC_00160	NC_007795.1	172714	173589	+	876	136	140	364	118	226	136	1567
gene-SAOUHSC_00161	NC_007795.1	173783	174064	-	282	6	0	0	0	1	0	0
gene-SAOUHSC_00162	NC_007795.1	174277	177066	+	2790	18	12	36	0	7	10	18
gene-SAOUHSC_00163	NC_007795.1	177271	178113	+	843	12	2	54	0	0	2	18
gene-SAOUHSC_00164	NC_007795.1	178115	179038	+	924	0	0	0	0	0	23	19
gene-SAOUHSC_00166	NC_007795.1	179025	180137	+	1113	0	0	0	0	0	13	16
gene-SAOUHSC_00167	NC_007795.1	180402	181994	-	1593	99	10	18	70	103	43	159
gene-SAOUHSC_00168	NC_007795.1	181951	183429	+	1479	28	4	6	18	28	6	22
gene-SAOUHSC_00169	NC_007795.1	183435	184598	+	1164	0	6	0	10	0	0	0
gene-SAOUHSC_00170	NC_007795.1	184615	186390	+	1776	0	0	9	0	2	6	14
gene-SAOUHSC_00171	NC_007795.1	186428	188434	+	2007	88	14	16	30	30	44	171
gene-SAOUHSC_00172	NC_007795.1	188732	189505	-	774	0	4	0	4	6	0	0
gene-SAOUHSC_00173	NC_007795.1	189695	190321	-	627	0	10	0	8	20	2	0
gene-SAOUHSC_00174	NC_007795.1	190530	191108	+	579	291	2	16	4	76	16	106
gene-SAOUHSC_00175	NC_007795.1	191491	192588	+	1098	0	0	2	2	0	0	0
gene-SAOUHSC_00176	NC_007795.1	192601	193872	+	1272	26	2	14	0	8	4	64
gene-SAOUHSC_00177	NC_007795.1	193875	195143	+	1269	194	20	87	75	54	36	145
gene-SAOUHSC_00178	NC_007795.1	195145	195984	+	840	122	0	60	25	20	30	196
gene-SAOUHSC_00179	NC_007795.1	196058	197134	+	1077	22	0	14	17	36	20	147
gene-SAOUHSC_00180	NC_007795.1	197159	198199	+	1041	110	20	66	64	54	42	99
gene-SAOUHSC_00181	NC_007795.1	198254	199222	+	969	86	2	30	30	32	22	281
gene-SAOUHSC_00182	NC_007795.1	199583	200155	-	573	0	0	12	0	0	0	2
gene-SAOUHSC_00183	NC_007795.1	200310	201689	+	1380	4	0	72	4	14	12	26
gene-SAOUHSC_00184	NC_007795.1	202048	202806	-	759	0	2	20	8	2	8	18
gene-SAOUHSC_00185	NC_007795.1	202799	204355	-	1557	4	2	0	4	12	2	44
gene-SAOUHSC_00186	NC_007795.1	204352	205320	-	969	0	0	12	4	2	4	18
gene-SAOUHSC_00187	NC_007795.1	205908	208157	+	2250	7341	971	5001	5311	1739	2081	34895
gene-SAOUHSC_00188	NC_007795.1	208180	208935	+	756	3116	281	2897	1597	431	640	16581
gene-SAOUHSC_00190	NC_007795.1	209271	211034	+	1764	14	0	10	4	8	4	16
gene-SAOUHSC_00191	NC_007795.1	211198	211542	-	345	0	11	0	0	1	0	0
gene-SAOUHSC_00192	NC_007795.1	211732	213642	+	1911	7	8	39	49	1	55	70
gene-SAOUHSC_00193	NC_007795.1	213824	213931	-	108	0	0	4	0	0	3	4
gene-SAOUHSC_00195	NC_007795.1	214246	215430	-	1185	28784	1763	2212	95341	5708	3025	12458
gene-SAOUHSC_00196	NC_007795.1	215460	217721	-	2262	16779	631	2392	57633	3192	2239	8716
gene-SAOUHSC_00197	NC_007795.1	217907	219118	-	1212	5439	207	986	14027	1095	913	3128
gene-SAOUHSC_00198	NC_007795.1	219230	220735	-	1506	5069	325	1072	15417	904	1065	7204
gene-SAOUHSC_00199	NC_007795.1	220761	222338	-	1578	7073	766	1101	36679	3427	2621	10836
gene-SAOUHSC_00200	NC_007795.1	222779	223921	+	1143	10	10	18	14	18	0	92
gene-SAOUHSC_00201	NC_007795.1	224235	225647	-	1413	9	0	74	0	6	14	106
gene-SAOUHSC_00202	NC_007795.1	225908	226264	-	357	4	0	3	0	1	0	36
gene-SAOUHSC_00203	NC_007795.1	226421	226594	-	174	5	0	6	8	6	18	35
gene-SAOUHSC_00204	NC_007795.1	226620	227765	-	1146	400	48	534	127	250	101	2107
gene-SAOUHSC_00205	NC_007795.1	227920	228027	+	108	0	0	0	0	0	0	0
gene-SAOUHSC_00206	NC_007795.1	228482	229291	+	810	2902	256	590	3185	1945	659	4403
gene-SAOUHSC_00208	NC_007795.1	229502	229645	+	144	40	2	3	10	21	13	35
gene-SAOUHSC_00209	NC_007795.1	229611	231140	-	1530	235	4	120	147	90	72	157
gene-SAOUHSC_00211	NC_007795.1	231502	232437	+	936	30	8	2	6	2	0	35
gene-SAOUHSC_00212	NC_007795.1	232547	232645	+	99	0	0	0	0	0	0	2
gene-SAOUHSC_00213	NC_007795.1	232776	234872	+	2097	30	10	4	14	28	8	26
gene-SAOUHSC_00214	NC_007795.1	234857	235324	+	468	0	0	0	0	0	0	0
gene-SAOUHSC_00215	NC_007795.1	235347	235625	+	279	2	2	0	0	0	0	4
gene-SAOUHSC_00216	NC_007795.1	235852	237111	+	1260	46	12	4	43	63	10	156
gene-SAOUHSC_00217	NC_007795.1	237129	238184	+	1056	90	20	0	82	85	2	313
gene-SAOUHSC_00218	NC_007795.1	238186	238332	+	147	2	3	4	2	3	1	39
gene-SAOUHSC_00219	NC_007795.1	238356	239399	+	1044	195	74	62	378	406	354	940
gene-SAOUHSC_00220	NC_007795.1	239969	240643	+	675	26	6	37	32	18	2	90
gene-SAOUHSC_00221	NC_007795.1	240636	241661	+	1026	64	4	72	22	30	44	460
gene-SAOUHSC_00222	NC_007795.1	241836	243377	+	1542	45	26	174	38	28	70	483
gene-SAOUHSC_00223	NC_007795.1	243805	244974	+	1170	8	0	62	14	0	30	52
gene-SAOUHSC_00225	NC_007795.1	245250	245966	+	717	38	6	84	48	30	21	91
gene-SAOUHSC_00226	NC_007795.1	245959	246984	+	1026	113	48	173	169	121	88	387
gene-SAOUHSC_00227	NC_007795.1	247006	248694	+	1689	819	368	1060	689	764	976	2987
gene-SAOUHSC_00228	NC_007795.1	248727	250451	+	1725	86	160	459	105	210	257	731
gene-SAOUHSC_00229	NC_007795.1	250591	251265	+	675	4	0	10	0	6	0	10
gene-SAOUHSC_00230	NC_007795.1	251527	253266	+	1740	107	14	66	48	66	26	211
gene-SAOUHSC_00231	NC_007795.1	253269	254009	+	741	0	0	2	4	0	0	9
gene-SAOUHSC_00232	NC_007795.1	254122	254565	+	444	198	18	66	26	113	60	606
gene-SAOUHSC_00233	NC_007795.1	254558	255259	+	702	245	23	98	19	145	62	782
gene-SAOUHSC_00234	NC_007795.1	255367	256071	-	705	6	6	2	39	10	38	114
gene-SAOUHSC_00235	NC_007795.1	256220	257011	+	792	40	0	12	16	0	58	8
gene-SAOUHSC_00236	NC_007795.1	257027	258463	+	1437	268	14	338	116	14	358	1566
gene-SAOUHSC_00237	NC_007795.1	258896	259657	-	762	290	14	139	47	10	90	498
gene-SAOUHSC_00238	NC_007795.1	259676	259810	+	135	8	0	8	10	2	8	32
gene-SAOUHSC_00239	NC_007795.1	259908	260822	-	915	93	4	38	30	39	75	207
gene-SAOUHSC_00240	NC_007795.1	260850	261254	-	405	31	8	31	18	22	50	72
gene-SAOUHSC_00241	NC_007795.1	261269	262150	-	882	174	38	104	208	67	116	452
gene-SAOUHSC_00242	NC_007795.1	262382	263380	-	999	124	0	223	28	7	184	374
gene-SAOUHSC_00243	NC_007795.1	263531	263710	+	180	0	0	3	0	0	0	0
gene-SAOUHSC_00244	NC_007795.1	263760	264152	+	393	0	0	21	0	0	2	0
gene-SAOUHSC_00246	NC_007795.1	264825	266201	-	1377	70	0	32	37	42	31	80
gene-SAOUHSC_00247	NC_007795.1	266435	267427	+	993	49	10	48	161	91	26	84
gene-SAOUHSC_00248	NC_007795.1	267753	268703	+	951	107	10	62	38	79	31	145
gene-SAOUHSC_00249	NC_007795.1	268755	269414	-	660	13	0	0	14	10	2	10
gene-SAOUHSC_00250	NC_007795.1	269428	270348	-	921	13	0	12	2	4	0	4
gene-SAOUHSC_00251	NC_007795.1	270345	271511	-	1167	11	0	4	14	12	0	13
gene-SAOUHSC_00253	NC_007795.1	271579	273102	-	1524	12	0	0	4	12	12	18
gene-SAOUHSC_00254	NC_007795.1	273373	274026	+	654	0	0	0	0	0	0	0
gene-SAOUHSC_00255	NC_007795.1	274060	274647	+	588	2	0	0	0	0	8	0
gene-SAOUHSC_00256	NC_007795.1	274790	275683	-	894	54	4	4	37	10	14	110
gene-SAOUHSC_00257	NC_007795.1	275931	276224	+	294	768	37	28	154	62	34	786
gene-SAOUHSC_00258	NC_007795.1	276308	279337	+	3030	114	22	13	8	2	2	88
gene-SAOUHSC_00259	NC_007795.1	279337	279795	+	459	4	0	2	3	1	0	1
gene-SAOUHSC_00260	NC_007795.1	279728	280009	+	282	2	0	2	0	0	0	2
gene-SAOUHSC_00261	NC_007795.1	280022	281356	+	1335	0	0	0	0	0	2	0
gene-SAOUHSC_00262	NC_007795.1	281378	285817	+	4440	88	36	0	30	38	26	95
gene-SAOUHSC_00264	NC_007795.1	285847	286239	+	393	0	0	0	0	0	0	0
gene-SAOUHSC_00265	NC_007795.1	286255	286569	+	315	2	0	0	0	0	0	0
gene-SAOUHSC_00266	NC_007795.1	286569	287243	+	675	2	6	0	0	3	6	2
gene-SAOUHSC_00267	NC_007795.1	287243	287560	+	318	12	0	0	0	4	7	77
gene-SAOUHSC_00268	NC_007795.1	287570	289414	+	1845	44	8	0	6	7	21	127
gene-SAOUHSC_00269	NC_007795.1	289425	289916	+	492	0	0	0	4	0	0	0
gene-SAOUHSC_00270	NC_007795.1	290124	290807	+	684	0	0	33	15	0	0	6
gene-SAOUHSC_00271	NC_007795.1	290954	291565	+	612	2	0	46	2	2	0	0
gene-SAOUHSC_00272	NC_007795.1	291701	291919	+	219	0	0	0	0	0	0	0
gene-SAOUHSC_00274	NC_007795.1	292051	292551	+	501	0	0	0	0	0	2	0
gene-SAOUHSC_00275	NC_007795.1	292562	293062	+	501	0	0	0	0	0	0	0
gene-SAOUHSC_00276	NC_007795.1	293073	293573	+	501	0	0	0	0	0	4	0
gene-SAOUHSC_00277	NC_007795.1	293584	294084	+	501	0	0	0	0	0	0	0
gene-SAOUHSC_00278	NC_007795.1	294095	294583	+	489	4	0	0	0	0	0	0
gene-SAOUHSC_00279	NC_007795.1	295206	295580	+	375	2	0	16	2	0	0	0
gene-SAOUHSC_00280	NC_007795.1	295733	296131	+	399	0	0	20	6	1	0	26
gene-SAOUHSC_00281	NC_007795.1	296347	297171	-	825	126	42	76	92	251	18	48
gene-SAOUHSC_00282	NC_007795.1	297408	298685	-	1278	90	64	258	184	188	168	1410
gene-SAOUHSC_00284	NC_007795.1	299299	300189	+	891	6	0	1	0	0	0	8
gene-SAOUHSC_00285	NC_007795.1	300438	301487	+	1050	394	124	18	395	393	365	249
gene-SAOUHSC_00287	NC_007795.1	301500	302177	+	678	394	93	84	257	222	139	186
gene-SAOUHSC_00289	NC_007795.1	302336	302476	-	141	0	0	0	6	0	0	0
gene-SAOUHSC_00290	NC_007795.1	302466	303416	+	951	114	52	340	196	60	102	228
gene-SAOUHSC_00291	NC_007795.1	303759	304877	+	1119	4	0	0	0	6	4	22
gene-SAOUHSC_00292	NC_007795.1	304852	305775	+	924	11	0	5	0	4	0	20
gene-SAOUHSC_00293	NC_007795.1	305786	307006	+	1221	22	4	21	22	2	2	24
gene-SAOUHSC_00294	NC_007795.1	307111	308643	-	1533	182	0	152	50	17	10	61
gene-SAOUHSC_00295	NC_007795.1	308683	309564	-	882	32	3	38	4	10	14	60
gene-SAOUHSC_00296	NC_007795.1	309722	310582	+	861	43	7	34	4	10	9	89
gene-SAOUHSC_00297	NC_007795.1	310860	311660	-	801	144	68	116	84	76	46	493
gene-SAOUHSC_00298	NC_007795.1	311800	312468	+	669	68	4	38	18	14	10	73
gene-SAOUHSC_00299	NC_007795.1	312595	313908	-	1314	30	6	14	1736	12	2	457
gene-SAOUHSC_00300	NC_007795.1	314326	316398	+	2073	234	186	465	3472	378	529	7039
gene-SAOUHSC_00301	NC_007795.1	316640	317467	-	828	24	8	64	8	46	34	216
gene-SAOUHSC_00302	NC_007795.1	317540	318739	-	1200	68	22	71	88	80	36	436
gene-SAOUHSC_00303	NC_007795.1	318835	318927	+	93	0	0	0	0	3	0	0
gene-SAOUHSC_00304	NC_007795.1	319041	320042	+	1002	6	0	8	16	4	52	169
gene-SAOUHSC_00305	NC_007795.1	320076	320408	+	333	0	8	0	2	2	4	129
gene-SAOUHSC_00306	NC_007795.1	320409	321209	+	801	20	8	16	16	21	2	92
gene-SAOUHSC_00307	NC_007795.1	321199	322143	+	945	19	6	10	35	7	34	130
gene-SAOUHSC_00308	NC_007795.1	322121	323143	+	1023	0	0	10	10	4	2	38
gene-SAOUHSC_00309	NC_007795.1	323458	324483	+	1026	12	2	13	8	3	12	13
